
Currently Loaded Modules:
  1) autotools      4) rocm/6.0.2     7) openmpi4/4.1.5
  2) cmake/3.25.2   5) gnu12/12.2.0   8) hpcfund
  3) prun/2.3       6) ucx/1.14.0     9) rocshmem/1.6.3

 

1, 256, 1
Rank 0, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 4, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 3, ROC_SHMEM 
Rank 6, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=1
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,4,size,32768, iter, 1, time, 0.058080, bw, 0.525441
peer,4,size,65536, iter, 1, time, 0.067040, bw, 0.910430
peer,4,size,131072, iter, 1, time, 0.087520, bw, 1.394772
peer,4,size,262144, iter, 1, time, 0.125760, bw, 1.941323
peer,4,size,524288, iter, 1, time, 0.201280, bw, 2.425882
peer,4,size,1048576, iter, 1, time, 0.363361, bw, 2.687584
peer,4,size,2097152, iter, 1, time, 0.664800, bw, 2.937916
peer,4,size,4194304, iter, 1, time, 1.308640, bw, 2.984972
peer,4,size,8388608, iter, 1, time, 2.645601, bw, 2.953017
peer,4,size,16777216, iter, 1, time, 5.195203, bw, 3.007585
peer,4,size,33554432, iter, 1, time, 10.222085, bw, 3.057109
peer,5,size,32, iter, 1, time, 0.053280, bw, 0.000559
peer,5,size,64, iter, 1, time, 0.054080, bw, 0.001102
peer,5,size,128, iter, 1, time, 0.048960, bw, 0.002435
peer,5,size,256, iter, 1, time, 0.049120, bw, 0.004854
peer,5,size,512, iter, 1, time, 0.052480, bw, 0.009086
peer,5,size,1024, iter, 1, time, 0.052000, bw, 0.018340
peer,5,size,2048, iter, 1, time, 0.047680, bw, 0.040003
peer,5,size,4096, iter, 1, time, 0.049120, bw, 0.077661
peer,5,size,8192, iter, 1, time, 0.050720, bw, 0.150422
peer,5,size,16384, iter, 1, time, 0.053280, bw, 0.286389
peer,5,size,32768, iter, 1, time, 0.063040, bw, 0.484099
peer,5,size,65536, iter, 1, time, 0.073120, bw, 0.834727
peer,5,size,131072, iter, 1, time, 0.088320, bw, 1.382138
peer,5,size,262144, iter, 1, time, 0.125920, bw, 1.938856
peer,5,size,524288, iter, 1, time, 0.209280, bw, 2.333150
peer,5,size,1048576, iter, 1, time, 0.365600, bw, 2.671125
peer,5,size,2097152, iter, 1, time, 0.677281, bw, 2.883776
peer,5,size,4194304, iter, 1, time, 1.302880, bw, 2.998168
peer,5,size,8388608, iter, 1, time, 2.670401, bw, 2.925593
peer,5,size,16777216, iter, 1, time, 5.162882, bw, 3.026413
peer,5,size,33554432, iter, 1, time, 10.102884, bw, 3.093179
peer,6,size,32, iter, 1, time, 0.053280, bw, 0.000559
peer,6,size,64, iter, 1, time, 0.048160, bw, 0.001238
peer,6,size,128, iter, 1, time, 0.047840, bw, 0.002492
peer,6,size,256, iter, 1, time, 0.047840, bw, 0.004984
peer,6,size,512, iter, 1, time, 0.048000, bw, 0.009934
peer,6,size,1024, iter, 1, time, 0.053600, bw, 0.017792
peer,6,size,2048, iter, 1, time, 0.047520, bw, 0.040138
peer,6,size,4096, iter, 1, time, 0.050560, bw, 0.075449
peer,6,size,8192, iter, 1, time, 0.050880, bw, 0.149949
peer,6,size,16384, iter, 1, time, 0.053920, bw, 0.282990
peer,6,size,32768, iter, 1, time, 0.058400, bw, 0.522562
peer,6,size,65536, iter, 1, time, 0.069280, bw, 0.880993
peer,6,size,131072, iter, 1, time, 0.088480, bw, 1.379638
peer,6,size,262144, iter, 1, time, 0.123360, bw, 1.979092
peer,6,size,524288, iter, 1, time, 0.199360, bw, 2.449246
peer,6,size,1048576, iter, 1, time, 0.355360, bw, 2.748096
peer,6,size,2097152, iter, 1, time, 0.664001, bw, 2.941451
peer,6,size,4194304, iter, 1, time, 1.294880, bw, 3.016691
peer,6,size,8388608, iter, 1, time, 2.608801, bw, 2.994673
peer,6,size,16777216, iter, 1, time, 5.138082, bw, 3.041020
peer,6,size,33554432, iter, 1, time, 10.208325, bw, 3.061229
peer,7,size,32, iter, 1, time, 0.053120, bw, 0.000561
peer,7,size,64, iter, 1, time, 0.053440, bw, 0.001115
peer,7,size,128, iter, 1, time, 0.053120, bw, 0.002244
peer,7,size,256, iter, 1, time, 0.048800, bw, 0.004886
peer,7,size,512, iter, 1, time, 0.047360, bw, 0.010068
peer,7,size,1024, iter, 1, time, 0.054720, bw, 0.017428
peer,7,size,2048, iter, 1, time, 0.047840, bw, 0.039869
peer,7,size,4096, iter, 1, time, 0.050720, bw, 0.075211
peer,7,size,8192, iter, 1, time, 0.056000, bw, 0.136239
peer,7,size,16384, iter, 1, time, 0.057920, bw, 0.263446
peer,7,size,32768, iter, 1, time, 0.059680, bw, 0.511354
peer,7,size,65536, iter, 1, time, 0.067040, bw, 0.910430
peer,7,size,131072, iter, 1, time, 0.088640, bw, 1.377148
peer,7,size,262144, iter, 1, time, 0.125760, bw, 1.941323
peer,7,size,524288, iter, 1, time, 0.213120, bw, 2.291111
peer,7,size,1048576, iter, 1, time, 0.361920, bw, 2.698285
peer,7,size,2097152, iter, 1, time, 0.684160, bw, 2.854780
peer,7,size,4194304, iter, 1, time, 1.292000, bw, 3.023416
peer,7,size,8388608, iter, 1, time, 2.684961, bw, 2.909728
peer,7,size,16777216, iter, 1, time, 5.104002, bw, 3.061326
peer,7,size,33554432, iter, 1, time, 10.588804, bw, 2.951233
1, 256, 2
Rank 0, ROC_SHMEM 
Rank 5, ROC_SHMEM 
Rank 1, ROC_SHMEM 
Rank 2, ROC_SHMEM 
Rank 6, ROC_SHMEM 
Rank 7, ROC_SHMEM 
Rank 4, ROC_SHMEM 
Rank 3, ROC_SHMEM 
IN USE - mpi 0/8, roc_shmem 0/8 , ndevices=8,cur=0, GPU_ID=N/A,node=t007-009.hpcfund
max_blocks=1, max_threads=256, iter=2
IN USE - mpi 1/8, roc_shmem 1/8 , ndevices=8,cur=1, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 2/8, roc_shmem 2/8 , ndevices=8,cur=2, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 3/8, roc_shmem 3/8 , ndevices=8,cur=3, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 4/8, roc_shmem 4/8 , ndevices=8,cur=4, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 5/8, roc_shmem 5/8 , ndevices=8,cur=5, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 6/8, roc_shmem 6/8 , ndevices=8,cur=6, GPU_ID=N/A,node=t007-009.hpcfund
IN USE - mpi 7/8, roc_shmem 7/8 , ndevices=8,cur=7, GPU_ID=N/A,node=t007-009.hpcfund
peer,1,size,32, iter, 2, time, 0.064158, bw, 0.000929
peer,1,size,64, iter, 2, time, 0.067520, bw, 0.001766
peer,1,size,128, iter, 2, time, 0.064480, bw, 0.003698
peer,1,size,256, iter, 2, time, 0.064160, bw, 0.007432
peer,1,size,512, iter, 2, time, 0.059680, bw, 0.015980
peer,1,size,1024, iter, 2, time, 0.059360, bw, 0.032132
peer,1,size,2048, iter, 2, time, 0.059520, bw, 0.064091
peer,1,size,4096, iter, 2, time, 0.062240, bw, 0.122580
peer,1,size,8192, iter, 2, time, 0.069120, bw, 0.220758
peer,1,size,16384, iter, 2, time, 0.073760, bw, 0.413742
peer,1,size,32768, iter, 2, time, 0.079520, bw, 0.767546
peer,1,size,65536, iter, 2, time, 0.097600, bw, 1.250723
peer,1,size,131072, iter, 2, time, 0.135840, bw, 1.797269
peer,1,size,262144, iter, 2, time, 0.211520, bw, 2.308444
peer,1,size,524288, iter, 2, time, 0.358560, bw, 2.723572
peer,1,size,1048576, iter, 2, time, 0.648960, bw, 3.009628
peer,1,size,2097152, iter, 2, time, 1.241440, bw, 3.146553
peer,1,size,4194304, iter, 2, time, 2.391839, bw, 3.266321
peer,1,size,8388608, iter, 2, time, 5.007680, bw, 3.120213
peer,1,size,16777216, iter, 2, time, 9.933762, bw, 3.145843
peer,1,size,33554432, iter, 2, time, 19.728643, bw, 3.167988
peer,2,size,32, iter, 2, time, 0.061120, bw, 0.000975
peer,2,size,64, iter, 2, time, 0.064320, bw, 0.001853
peer,2,size,128, iter, 2, time, 0.060640, bw, 0.003932
peer,2,size,256, iter, 2, time, 0.059040, bw, 0.008077
peer,2,size,512, iter, 2, time, 0.066400, bw, 0.014363
peer,2,size,1024, iter, 2, time, 0.058880, bw, 0.032394
peer,2,size,2048, iter, 2, time, 0.061280, bw, 0.062250
peer,2,size,4096, iter, 2, time, 0.061440, bw, 0.124177
peer,2,size,8192, iter, 2, time, 0.067200, bw, 0.227066
peer,2,size,16384, iter, 2, time, 0.068480, bw, 0.445643
peer,2,size,32768, iter, 2, time, 0.080000, bw, 0.762941
peer,2,size,65536, iter, 2, time, 0.097120, bw, 1.256904
peer,2,size,131072, iter, 2, time, 0.134560, bw, 1.814366
peer,2,size,262144, iter, 2, time, 0.210880, bw, 2.315450
peer,2,size,524288, iter, 2, time, 0.362240, bw, 2.695904
peer,2,size,1048576, iter, 2, time, 0.671360, bw, 2.909211
peer,2,size,2097152, iter, 2, time, 1.274080, bw, 3.065943
peer,2,size,4194304, iter, 2, time, 2.506240, bw, 3.117225
peer,2,size,8388608, iter, 2, time, 5.183201, bw, 3.014552
peer,2,size,16777216, iter, 2, time, 10.284803, bw, 3.038469
peer,2,size,33554432, iter, 2, time, 20.379524, bw, 3.066809
peer,3,size,32, iter, 2, time, 0.060160, bw, 0.000991
peer,3,size,64, iter, 2, time, 0.066080, bw, 0.001804
peer,3,size,128, iter, 2, time, 0.066720, bw, 0.003573
peer,3,size,256, iter, 2, time, 0.060320, bw, 0.007905
peer,3,size,512, iter, 2, time, 0.060320, bw, 0.015810
peer,3,size,1024, iter, 2, time, 0.066080, bw, 0.028864
peer,3,size,2048, iter, 2, time, 0.067200, bw, 0.056766
peer,3,size,4096, iter, 2, time, 0.062720, bw, 0.121642
peer,3,size,8192, iter, 2, time, 0.066720, bw, 0.228699
peer,3,size,16384, iter, 2, time, 0.072800, bw, 0.419198
peer,3,size,32768, iter, 2, time, 0.082240, bw, 0.742160
peer,3,size,65536, iter, 2, time, 0.097280, bw, 1.254837
peer,3,size,131072, iter, 2, time, 0.134080, bw, 1.820861
